Year,State,Hospital_Type,ED_Wait_Min,Seen_On_Time_Percent,Admissions,Readmission_30_Days_Percent,Mortality_Per_1000,Avg_Cost_Per_Patient_AUD,Doctors,Nurses,ICU_Beds,Patient_Satisfaction_Percent,Profit_Million_AUD
2024,NT,Public,23.9,79,79473,15.04,3.63,3328,194,238,10,61,1.41
2025,WA,Private,20.0,85,65809,18.32,7.13,12982,548,1475,120,94,35.18
2023,VIC,Private,12.2,74,58328,11.9,4.08,11968,195,1866,21,87,77.92
2025,WA,Public,24.0,71,56784,14.1,7.84,13214,490,1125,128,90,-12.66
2025,QLD,Public,37.1,56,43723,7.83,7.88,7674,470,961,29,92,8.39
2022,NT,Public,28.9,79,80646,17.07,3.61,7316,365,1636,45,82,4.3
2023,NSW,Private,24.9,67,86255,19.51,2.25,12379,215,1145,88,76,4.85
2023,WA,Public,23.7,93,20074,9.03,6.23,12695,701,1669,117,60,17.87
2023,TAS,Private,25.1,82,144173,12.42,4.71,14483,252,251,105,82,61.81
2025,NSW,Private,27.7,60,46498,6.29,2.6,8803,545,573,68,86,71.29
2024,VIC,Public,19.1,57,85522,13.39,6.25,6325,674,1749,29,84,0.22
2023,TAS,Private,30.6,89,116881,12.54,2.19,11379,517,1130,135,91,34.29
2025,NSW,Private,28.6,72,40541,7.17,7.22,4214,762,355,106,78,43.69
2022,TAS,Private,28.6,65,65929,11.63,2.83,10556,434,1765,71,83,32.18
2024,VIC,Private,27.2,74,143199,10.01,2.76,14478,363,1313,140,62,23.41
2022,NT,Public,25.1,59,120453,12.83,3.05,14638,304,878,102,71,-0.8
2024,QLD,Public,28.4,73,46028,13.78,7.76,12301,72,550,100,94,28.82
2025,VIC,Private,28.0,76,49545,5.13,6.16,13713,388,268,142,74,20.12
2021,VIC,Private,23.2,73,99569,16.42,6.81,11722,542,1386,132,76,59.56
2024,TAS,Public,22.1,70,51673,15.7,4.39,12262,560,1465,95,91,56.36
2022,NT,Private,25.5,78,50974,10.49,4.02,6136,415,1718,127,66,-6.6
2025,ACT,Public,32.7,58,78899,5.79,3.41,12154,421,1606,35,78,-11.15
2024,SA,Private,18.8,69,43097,16.32,4.88,9618,648,1275,127,66,70.82
